Title,Description,Priority,Status,Labels,Project,Acceptance Criteria
Create Linear workspace/team,"Set up Linear workspace/team for the homeschool project and invite required users.",P0,Backlog,"type:task,area:qa",Homeschool Platform MVP,"Workspace exists; project exists; Kaecey and Alex can access if desired."
Create Linear project and workflow,"Create Homeschool Platform MVP project with statuses: Backlog, Ready, In Progress, In Review, Done, Blocked.",P0,Backlog,"type:task,area:qa",Homeschool Platform MVP,"Project exists; statuses match workflow; priorities are enabled."
Connect GitHub to Linear,"Connect GitHub integration so issues can create branches and link PRs.",P0,Backlog,"type:task,area:qa",Homeschool Platform MVP,"GitHub integration works; test issue links to test branch or PR."
Import initial backlog CSV,"Import this CSV into Linear and verify labels, priorities, and descriptions are readable.",P0,Backlog,"type:task,area:qa",Homeschool Platform MVP,"All imported issues appear; bad formatting is fixed; duplicates are removed."
Create agent rules file,"Add AGENTS.md or equivalent project rules so AI agents know to use Linear and acceptance criteria.",P0,Backlog,"type:task,area:qa",Homeschool Platform MVP,"Rules file exists; Linear workflow is documented; branch and PR rules are included."
Choose product name and positioning,"Decide app/site name and whether messaging is faith-forward, neutral homeschool, or both.",P1,Backlog,"type:research",Homeschool Platform MVP,"Name options are reviewed; one direction is chosen; homepage copy can begin."
Create web/backend repository,"Create or select repo for homeschool web app and backend.",P0,Backlog,"type:task,area:backend,area:web",Homeschool Platform MVP,"Repo exists; README explains stack; local dev can start."
Choose app architecture,"Decide Next.js backend plus Android native, or shared React Native path.",P0,Backlog,"type:research,area:android,area:web",Homeschool Platform MVP,"Decision is documented with tradeoffs; downstream app tasks use chosen stack."
Define database schema v1,"Design schema for users, families, children, grades, subjects, units, lessons, assignments, scores, and progress events.",P0,Backlog,"type:feature,area:backend,area:curriculum",Homeschool Platform MVP,"Schema covers MVP objects; migrations run locally; seed data can reference curriculum outlines."
Normalize LIFEPAC source data,"Convert existing LIFEPAC JSON/outlines into clean curriculum import format.",P0,Backlog,"type:feature,area:curriculum",Homeschool Platform MVP,"Grades 1-12, subjects, units, and outline sections parse without errors."
Build curriculum importer,"Create script/import job to load normalized LIFEPAC data into database.",P0,Backlog,"type:feature,area:backend,area:curriculum",Homeschool Platform MVP,"Importer can reset and seed curriculum; logs skipped or malformed rows."
Create curriculum data licensing notes,"Document what data is public index data and what cannot be copied from paid workbooks.",P0,Backlog,"type:task,area:curriculum",Homeschool Platform MVP,"README or docs clarify allowed source data and content boundaries."
Build curriculum browser API,"Expose grade, subject, unit, and lesson outline endpoints.",P1,Backlog,"type:feature,area:backend,area:curriculum",Homeschool Platform MVP,"API returns curriculum tree; endpoints are protected where needed; tests cover core responses."
Build curriculum browser web page,"Create web page to browse grades, subjects, units, and outline sections.",P1,Backlog,"type:feature,area:web,area:curriculum",Homeschool Platform MVP,"User can select grade and subject; units display; loading and empty states exist."
Create curriculum admin review screen,"Admin can see imported curriculum gaps, missing fields, and edit metadata.",P2,Backlog,"type:feature,area:admin,area:curriculum",Homeschool Platform MVP,"Admin list shows gaps; metadata can be edited; changes persist."
Create auth foundation,"Implement parent login/signup with selected auth provider.",P0,Backlog,"type:feature,area:backend,area:web",Homeschool Platform MVP,"Parent can sign up, log in, log out; protected routes block anonymous users."
Create family and child profile model,"Parents can create family account and child profiles.",P1,Backlog,"type:feature,area:parent,area:backend",Homeschool Platform MVP,"Parent can add/edit/archive child; child belongs to parent family."
Create parent dashboard shell,"Build parent dashboard layout with child cards and progress placeholders.",P1,Backlog,"type:feature,area:parent,area:web",Homeschool Platform MVP,"Dashboard loads for parent; child cards display; empty state prompts adding a child."
Assign grade and subjects to child,"Parent can assign a grade level and active subjects to a child.",P1,Backlog,"type:feature,area:parent,area:curriculum",Homeschool Platform MVP,"Assignments save; student dashboard reflects assigned subjects."
Create assignment generation logic,"Generate daily or weekly assignments from grade/subject/unit pacing.",P1,Backlog,"type:feature,area:backend,area:curriculum",Homeschool Platform MVP,"Parent can create a plan; system creates assignments; missed work is handled predictably."
Build parent progress report,"Show completion, scores, and pacing by child, subject, and unit.",P1,Backlog,"type:feature,area:parent,area:web",Homeschool Platform MVP,"Parent sees percent complete, recent scores, and behind/on-track status."
Add struggle alerts,"Flag repeated low scores, missed work, or stalled lessons for parent review.",P2,Backlog,"type:feature,area:parent",Homeschool Platform MVP,"Dashboard flags clear issues; parent can dismiss or review details."
Add weekly summary export,"Parent can export or print a weekly progress summary.",P2,Backlog,"type:feature,area:parent",Homeschool Platform MVP,"Summary includes child, subjects, completed work, scores, and notes."
Create student login/access flow,"Define how children access their dashboard without full parent permissions.",P1,Backlog,"type:feature,area:student,area:backend",Homeschool Platform MVP,"Child can access assigned work; child cannot access parent/admin pages."
Build student dashboard shell,"Student sees today's work, progress, and continue button.",P1,Backlog,"type:feature,area:student,area:web",Homeschool Platform MVP,"Dashboard shows assigned subjects and next lesson; empty state is friendly."
Build lesson player shell,"Student can open a lesson outline with instructions/content placeholders.",P1,Backlog,"type:feature,area:student,area:curriculum",Homeschool Platform MVP,"Lesson loads from curriculum; complete button records progress."
Build practice activity shell,"Create reusable activity component for multiple choice, short answer, and completion tasks.",P1,Backlog,"type:feature,area:student",Homeschool Platform MVP,"Activity can render at least one question type; answers can be saved."
Build quiz/test shell,"Create quiz/test flow with scoring and review states.",P1,Backlog,"type:feature,area:student",Homeschool Platform MVP,"Student can submit quiz; score is recorded; parent can see result."
Track progress events,"Record lesson start, completion, quiz score, and assignment completion events.",P0,Backlog,"type:feature,area:backend,area:student,area:parent",Homeschool Platform MVP,"Events persist; reports use event data; duplicate completions are handled."
Create web design system,"Define colors, typography, buttons, cards, forms, empty states, and mobile breakpoints.",P1,Backlog,"type:feature,area:web",Homeschool Platform MVP,"Reusable components exist; main dashboard pages use them."
Build public marketing homepage,"Create website homepage explaining homeschool platform and parent/student benefits.",P2,Backlog,"type:feature,area:web",Homeschool Platform MVP,"Homepage has clear CTA, feature sections, and responsive layout."
Create Android app repo or module,"Create Android project based on chosen architecture.",P1,Backlog,"type:task,area:android",Homeschool Platform MVP,"App builds locally or in CI; README explains setup."
Android auth flow,"Android app supports login and session persistence.",P1,Backlog,"type:feature,area:android",Homeschool Platform MVP,"Parent/student can log in; token/session survives app restart."
Android student dashboard,"Build Android student dashboard with today's work and continue action.",P1,Backlog,"type:feature,area:android,area:student",Homeschool Platform MVP,"Dashboard loads real assignments; loading/error states exist."
Android lesson player,"Build Android lesson shell that reads same curriculum API.",P1,Backlog,"type:feature,area:android,area:student",Homeschool Platform MVP,"Lesson opens; complete action syncs to backend."
Android quiz/test shell,"Build Android quiz/test flow with scoring sync.",P1,Backlog,"type:feature,area:android,area:student",Homeschool Platform MVP,"Student submits quiz; score appears in parent web dashboard."
Android parent quick view,"Parent can see child progress summary in Android app.",P2,Backlog,"type:feature,area:android,area:parent",Homeschool Platform MVP,"Parent sees children, completion, and recent scores."
Set up CI for web/backend,"Run lint, typecheck, tests, and build on PRs.",P0,Backlog,"type:task,area:qa,area:backend,area:web",Homeschool Platform MVP,"CI blocks broken builds; README includes status."
Set up CI for Android,"Run Android build/test on PRs or pushes.",P1,Backlog,"type:task,area:qa,area:android",Homeschool Platform MVP,"CI produces build artifact or verifies app compiles."
Add logging and error monitoring,"Add basic server/client logging and error capture.",P2,Backlog,"type:feature,area:backend,area:qa",Homeschool Platform MVP,"Errors are visible; user-facing failures include useful messages."
Create QA checklist,"Define manual QA checklist for parent, student, curriculum, and Android flows.",P1,Backlog,"type:task,area:qa",Homeschool Platform MVP,"Checklist exists; beta cannot ship until checklist passes."
Prepare beta deployment,"Deploy web/backend to selected host and configure database/env vars.",P1,Backlog,"type:task,area:backend,area:web",Homeschool Platform MVP,"Beta URL is live; smoke tests pass; database migrations run."
Prepare Android beta distribution,"Set up internal Android beta distribution path.",P2,Backlog,"type:task,area:android,area:qa",Homeschool Platform MVP,"Kaecey can install a beta build; update process is documented."
Collect beta feedback,"Add simple feedback capture from parent/student users.",P2,Backlog,"type:feature,area:web,area:android",Homeschool Platform MVP,"Feedback can be submitted; items appear in admin or tracked inbox."
Plan iOS phase,"Create iOS project plan after Android MVP validates core UX.",P3,Backlog,"type:research",Homeschool Platform MVP,"iOS scope and architecture decision are documented."
